filename,percentage,patch_1,patch_2,patch_3,patch_4,patch_5,patch_6,patch_7,patch_8,patch_9
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210417-192000.netcdf,0.0673750566893424,188.0,160.0,161.0,164.0,427.0,282.0625,369.125,177.0,83.0625
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210417-193000.netcdf,0.06842358276643991,181.5625,157.3125,137.0,162.0,437.0,243.3125,342.0,234.0,84.0625
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210417-194000.netcdf,0.06904920634920635,184.0,156.125,151.0625,130.0,514.0,243.0,401.125,309.0,77.0625
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210417-195000.netcdf,0.0688843537414966,168.0,154.375,190.0,119.0,506.0,250.0,526.0,349.0,83.375
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210417-200000.netcdf,0.06965351473922902,135.0,151.0,209.8125,127.0,608.0,253.0,551.0,345.0,70.75
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210417-201000.netcdf,0.06899047619047619,146.0,138.0,212.5625,137.0,644.0625,246.0,531.0,369.0,59.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210417-202000.netcdf,0.0684077097505669,147.0,105.0,212.125,134.0,640.625,200.0,507.0,374.0,52.25
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210417-203000.netcdf,0.06857120181405896,144.0,111.0,202.75,127.0,635.375,154.0,384.125,370.0,70.875
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210417-204000.netcdf,0.06828412698412699,172.0,115.0,191.125,96.6875,560.3125,104.0,318.0,329.0,80.875
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210417-205000.netcdf,0.0681859410430839,214.0,109.0,177.1875,124.0,377.0,104.0625,244.0,320.0,84.1875
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210417-210000.netcdf,0.0666814058956916,237.5625,107.0,161.75,140.9375,349.0,156.125,267.0,314.0,85.4375
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210417-211000.netcdf,0.06545102040816327,289.0,102.0,135.125,163.625,389.3125,216.0625,281.0,258.0625,87.5625
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210417-212000.netcdf,0.06411950113378685,319.0625,91.0,102.0,176.0,404.0625,245.0625,293.0,253.0,85.125
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210417-213000.netcdf,0.06463038548752835,323.125,76.0625,144.0,190.5,589.0625,229.0625,295.0,244.0,74.25
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210417-214000.netcdf,0.06419750566893424,282.125,146.0625,177.0,216.1875,725.0625,200.0,245.0,280.0,62.3125
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210417-215000.netcdf,0.06271020408163265,293.0625,169.25,196.1875,231.0,768.0,159.0,154.0,287.0,58.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210417-220000.netcdf,0.06308503401360545,328.0625,194.75,210.0625,238.0,780.375,109.0,110.1875,294.0,50.0625
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210418-190000.netcdf,0.05118707482993197,152.0,40.25,102.0,268.125,538.0,166.1875,220.0,52.0,84.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210418-191000.netcdf,0.05239342403628118,150.0,49.8125,120.0,285.875,488.0,179.0,283.0,65.1875,146.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210418-192000.netcdf,0.054804761904761905,131.1875,53.4375,141.0,307.5625,377.9375,189.0,312.0,92.0,219.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210418-193000.netcdf,0.05607120181405896,150.0,54.0,139.0,332.0,390.6875,197.0,270.5,105.0,282.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210418-194000.netcdf,0.05715646258503401,169.5,55.125,137.0,326.5625,372.1875,208.0,303.125,145.0,299.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210418-195000.netcdf,0.05777278911564626,181.6875,57.0,100.0,304.25,332.4375,213.0,350.0,150.0,304.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210418-200000.netcdf,0.0579047619047619,173.0625,53.4375,105.0,282.0,288.9375,205.125,369.75,144.0,266.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210418-201000.netcdf,0.05836349206349206,156.0,52.25,105.0,299.0,260.0,152.5625,370.0,209.1875,201.75
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210418-202000.netcdf,0.05854761904761905,187.0,51.5,130.0,294.0,317.8125,132.0625,363.0,277.25,198.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210418-203000.netcdf,0.05819705215419501,256.0,61.5625,137.0,285.9375,379.0,223.0625,363.0,321.5,163.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210418-204000.netcdf,0.05830068027210884,283.0,72.25,150.0,245.1875,434.625,275.0625,497.5625,400.25,159.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210418-205000.netcdf,0.05857936507936508,303.0,77.0,151.0,202.0,528.75,293.0625,568.5625,424.4375,228.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210418-210000.netcdf,0.058474149659863944,307.0625,89.125,157.0,193.0,584.6875,299.0625,575.5625,421.375,310.4375
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210418-211000.netcdf,0.05963854875283447,283.0,92.0,157.0,163.0,599.0,296.0,546.0,416.375,429.6875
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210418-212000.netcdf,0.05895963718820862,260.5,90.0,145.0,142.0,598.0,343.0,434.0,401.9375,542.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210418-213000.netcdf,0.05843333333333333,233.0,88.0,123.0,139.0,572.125,365.1875,368.0,527.75,570.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210418-214000.netcdf,0.058420408163265304,186.0625,91.5625,158.0,127.25,551.0,383.0,265.625,653.9375,564.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210418-215000.netcdf,0.0575687074829932,147.0,106.3125,183.0,161.0625,481.375,362.0,249.0,714.8125,521.3125
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210418-220000.netcdf,0.05544149659863946,183.0,111.625,199.25,180.625,371.375,307.0,200.625,702.0,443.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210419-190000.netcdf,0.046061678004535145,74.0,39.0,191.0,113.1875,688.0,644.1875,1.125,148.0,304.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210419-191000.netcdf,0.047370748299319726,54.0,53.0,140.0,131.125,658.0,687.625,6.0,139.0,270.625
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210419-192000.netcdf,0.04836848072562358,56.0,59.0,90.0,200.0,578.0,660.5,7.0,86.25,271.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210419-193000.netcdf,0.048997732426303856,70.0,62.0625,76.0,290.0,505.125,623.0,7.0,116.25,270.25
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210419-194000.netcdf,0.049669614512471656,82.125,65.5625,96.0,349.0,514.0625,569.9375,9.0,145.25,253.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210419-195000.netcdf,0.05045873015873016,87.0,66.875,114.0,367.0,515.0,669.0,11.0,158.1875,289.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210419-200000.netcdf,0.05112267573696145,86.0,50.125,117.0,374.0,511.0625,724.0,22.0,166.0,317.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210419-201000.netcdf,0.05107074829931973,93.0,37.5625,115.0,310.0,697.0,760.0,31.0,141.375,355.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210419-202000.netcdf,0.05071065759637188,133.0,34.0,98.25,309.25,762.0,758.0,71.0,160.0625,400.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210419-203000.netcdf,0.05141859410430839,163.0,38.0,76.0,307.75,748.0,631.0,105.0,162.375,407.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210419-204000.netcdf,0.05090204081632653,173.0,51.0,85.0,261.5625,750.8125,407.0,108.0,156.375,466.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210419-205000.netcdf,0.05055600907029478,179.0,54.0,87.0,221.4375,724.3125,399.5625,105.0,138.3125,497.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210419-210000.netcdf,0.050062358276643994,158.0,55.75,86.0,247.3125,632.25,434.0,88.0,165.0,508.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210419-211000.netcdf,0.048734013605442175,123.0,54.25,77.0,254.75,633.1875,589.0,83.0,251.0,509.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210419-212000.netcdf,0.04806122448979592,95.0,49.0,80.125,224.125,631.1875,731.9375,82.0,446.0,502.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210419-213000.netcdf,0.047782766439909294,125.0,52.0,83.0,177.125,611.1875,760.9375,82.0,579.0,418.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210419-214000.netcdf,0.04827233560090703,217.0,54.0,56.25,150.0,552.0,765.4375,77.0,635.0,280.0625
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210419-215000.netcdf,0.04759047619047619,261.0,49.0,78.0,169.125,555.0,807.4375,52.0,615.0,271.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210419-220000.netcdf,0.04632108843537415,285.0625,59.0,98.0,187.0625,633.125,891.9375,50.0,596.0,286.25
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210514-190000.netcdf,0.011349433106575964,18.1875,109.0,286.125,56.0,27.0,0.0,2.0,1.0,0.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210514-191000.netcdf,0.01217687074829932,18.1875,134.0,249.125,75.0,31.0,0.0,1.0625,1.0,0.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210514-192000.netcdf,0.013144444444444445,29.0,136.0,199.0625,87.0,35.0,0.0,1.0625,1.0,1.1875
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210514-193000.netcdf,0.014449659863945578,43.0,136.0,221.125,97.0,34.0,0.0,1.0625,1.0,2.3125
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210514-194000.netcdf,0.014857142857142857,53.0,129.0,260.1875,99.0,37.0,0.0,1.0625,1.0,2.3125
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210514-195000.netcdf,0.014912698412698412,58.0,139.5,281.125,91.0,37.0,0.0,1.0,0.0,3.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210514-200000.netcdf,0.015363038548752834,60.0,146.0,287.0,85.0,37.0,0.0,1.0,0.0,3.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210514-201000.netcdf,0.016071201814058956,57.0,144.0,261.0,81.0,37.0,0.0,1.0,0.0,3.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210514-202000.netcdf,0.015734920634920636,49.0,132.0,393.0,99.0,36.0,0.0,1.0,0.0,3.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210514-203000.netcdf,0.015206802721088436,36.0,110.0,478.1875,123.0,38.0625,0.0,1.0,0.0,3.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210514-204000.netcdf,0.015701360544217686,23.0,95.0,516.5625,144.0,38.0625,0.0,0.0,0.0,3.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210514-205000.netcdf,0.016065079365079366,21.0,84.375,530.0,160.0,31.0,0.0,0.0,0.0,2.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210514-210000.netcdf,0.01646485260770975,24.0,86.5,675.3125,155.0,32.375,0.0,0.0,0.0,2.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210514-211000.netcdf,0.016178458049886622,23.0,88.0,767.25,117.0,34.0,0.0,0.0,0.0,2.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210514-212000.netcdf,0.017007256235827665,33.0,107.0,771.0,110.0,46.0,0.0,0.0,0.0,0.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210514-213000.netcdf,0.017391383219954648,34.0,126.0,671.0,126.1875,73.0,0.0,0.0,0.0,0.0
